mental_health_step_id;language_code;title;description;purpose
1;en-US;Check-in;Focus your attention on your feet. Notice what you feel (warm, cold, pressure) without judgment.;Connecting with your body. Shifting attention from 'thinking' to 'feeling'.
1;nl-NL;Check-in;Richt je aandacht op je voeten. Merk op wat je voelt (warm, koud, druk) zonder te oordelen.;Contact maken met je lichaam. De aandacht verplaatsen van 'denken' naar 'voelen'.
2;en-US;5 Senses;Name 5 things you see, 4 you feel, 3 you hear, 2 you smell, and 1 you taste.;Getting yourself out of your head and anchoring in the here and now. Giving your brain a concrete, safe task.
2;nl-NL;5 Zintuigen;Benoem 5 dingen die je ziet, 4 die je voelt, 3 die je hoort, 2 die je ruikt, en 1 die je proeft.;Jezelf uit je hoofd halen en ankeren in het hier en nu. Je brein een concrete, veilige taak geven.
3;en-US;Notice Breathing;Place a hand on your belly and observe the movement of your breath without changing it.;Safely moving your attention inward. Training the 'muscle' for internal observation.
3;nl-NL;Ademhaling Opmerken;Leg een hand op je buik en observeer de beweging van je ademhaling, zonder deze te veranderen.;Je aandacht veilig naar binnen verplaatsen. De 'spier' voor interne observatie trainen.
4;en-US;Naming Sensations;Focus on your chest/belly. Give the sensation you feel a simple name (e.g., "unrest", "emptiness", "calm").;Learning to see feelings as neutral information, without being overwhelmed by them.
4;nl-NL;Sensaties een Naam Geven;Focus op je borst/buik. Geef de sensatie die je voelt een simpele naam (bv. "onrust", "leegte", "stil").;Gevoelens leren zien als neutrale informatie, zonder erdoor overweldigd te raken.
5;en-US;Find One Good Thing;At the end of the day, name one small moment that was not negative.;Training your brain to notice the positive again and build new neural pathways.
5;nl-NL;Eén Goed Ding Vinden;Benoem aan het eind van de dag één klein moment dat niet negatief was.;Je brein trainen om weer oog te krijgen voor het positieve en nieuwe neurale paden aan te leggen.
6;en-US;Appreciation (Gratitude);Ask yourself why that one good thing was a pleasant moment for you.;Dwelling on a positive feeling longer to strengthen its effect. Practicing gratitude.
6;nl-NL;Waarderen (Dankbaarheid);Vraag jezelf af waarom dat ene goede ding een prettig moment voor je was.;Langer stilstaan bij een positief gevoel om het effect te versterken. Dankbaarheid oefenen.
7;en-US;Apply Kindness (Self-Compassion);In a difficult moment, pause and say something gentle to yourself, like "This is tough right now.";Breaking the autopilot of self-criticism. Learning to support yourself and become your own safe base.
7;nl-NL;Vriendelijkheid Toepassen (Zelfcompassie);Op een moeilijk moment, pauzeer en zeg iets milds tegen jezelf, zoals "Dit is even lastig.";De automatische piloot van zelfkritiek doorbreken. Jezelf leren steunen en je eigen veilige basis worden.
